Amplitude,Phase,Amplitude error
0.618431964007778,52.623898447651108,0.38207739150848802
8.9218982472035968,64.979717818653981,0.79583214301374006
19.910188400493617,69.934824702293326,0.9762558010997815
31.427978576208396,70.045622263099233,0.78307475234806589
40.809342758699884,76.078880357241786,1.6474350429775444
50.914267053817603,78.315687652828387,1.0309071518391131
60.897683887157825,79.421598255434176,0.91189658689872521
64.330224175285764,85.860239675607872,1.518222655162881
75.542792681208283,84.57552997539257,1.4319067704817536
83.541780026896191,87.641875539988391,1.7465170846751681
85.320118308897577,91.216125680791052,3.9330922228874927
